bytes_in,bytes_out,creation_time,end_time,src_ip,src_ip_country_code,protocol,response.code,dst_port,dst_ip,rule_names,observation_name,source.meta,source.name,time,detection_types,duration_seconds,scaled_bytes_in,scaled_bytes_out,scaled_duration_seconds,anomaly
1968903,38773,2024-04-25 23:10:00+00:00,2024-04-25 23:20:00+00:00,165.225.240.79,NL,HTTPS,200,443,10.138.69.97,Suspicious Web Traffic,Adversary Infrastructure Interaction,AWS_VPC_Flow,prod_webserver,2024-04-25 23:10:00+00:00,waf_rule,600.0,0.18578521778341858,-0.17990451398469445,0.0,Normal
6958,12854,2024-04-25 23:10:00+00:00,2024-04-25 23:20:00+00:00,136.226.77.103,CA,HTTPS,200,443,10.138.69.97,Suspicious Web Traffic,Adversary Infrastructure Interaction,AWS_VPC_Flow,prod_webserver,2024-04-25 23:10:00+00:00,waf_rule,600.0,-0.2878916009424,-0.28175714894779386,0.0,Normal
8310,6276,2024-04-25 23:10:00+00:00,2024-04-25 23:20:00+00:00,165.225.26.101,DE,HTTPS,200,443,10.138.69.97,Suspicious Web Traffic,Adversary Infrastructure Interaction,AWS_VPC_Flow,prod_webserver,2024-04-25 23:10:00+00:00,waf_rule,600.0,-0.2875651845245507,-0.30760639593985634,0.0,Normal
4804723,291088,2024-04-25 23:10:00+00:00,2024-04-25 23:20:00+00:00,155.91.45.242,US,HTTPS,200,443,10.138.69.97,Suspicious Web Traffic,Adversary Infrastructure Interaction,AWS_VPC_Flow,prod_webserver,2024-04-25 23:10:00+00:00,waf_rule,600.0,0.8704436542222845,0.8116054821846957,0.0,Normal
11820,24620,2024-04-25 23:10:00+00:00,2024-04-25 23:20:00+00:00,165.225.209.4,CA,HTTPS,200,443,10.138.69.97,Suspicious Web Traffic,Adversary Infrastructure Interaction,AWS_VPC_Flow,prod_webserver,2024-04-25 23:10:00+00:00,waf_rule,600.0,-0.28671775728590354,-0.23552087042717856,0.0,Normal
8206,6068,2024-04-25 23:10:00+00:00,2024-04-25 23:20:00+00:00,147.161.131.1,AT,HTTPS,200,443,10.138.69.97,Suspicious Web Traffic,Adversary Infrastructure Interaction,AWS_VPC_Flow,prod_webserver,2024-04-25 23:10:00+00:00,waf_rule,600.0,-0.2875902934797699,-0.3084237634336765,0.0,Normal
29356,17408,2024-04-25 23:20:00+00:00,2024-04-25 23:30:00+00:00,165.225.33.6,US,HTTPS,200,443,10.138.69.97,Suspicious Web Traffic,Adversary Infrastructure Interaction,AWS_VPC_Flow,prod_webserver,2024-04-25 23:20:00+00:00,waf_rule,600.0,-0.2824840011443318,-0.2638615164148275,0.0,Normal
26178,33801,2024-04-25 23:20:00+00:00,2024-04-25 23:30:00+00:00,136.226.67.101,US,HTTPS,200,443,10.138.69.97,Suspicious Web Traffic,Adversary Infrastructure Interaction,AWS_VPC_Flow,prod_webserver,2024-04-25 23:20:00+00:00,waf_rule,600.0,-0.283251272872087,-0.19944274080812632,0.0,Normal
29308,15652,2024-04-25 23:20:00+00:00,2024-04-25 23:30:00+00:00,165.225.213.7,CA,HTTPS,200,443,10.138.69.97,Suspicious Web Traffic,Adversary Infrastructure Interaction,AWS_VPC_Flow,prod_webserver,2024-04-25 23:20:00+00:00,waf_rule,600.0,-0.2824955898928945,-0.2707619842953477,0.0,Normal
60068,12628,2024-04-25 23:20:00+00:00,2024-04-25 23:30:00+00:00,136.226.64.114,US,HTTPS,200,443,10.138.69.97,Suspicious Web Traffic,Adversary Infrastructure Interaction,AWS_VPC_Flow,prod_webserver,2024-04-25 23:20:00+00:00,waf_rule,600.0,-0.27506913352229995,-0.28264525016704073,0.0,Normal
